General,number_of_battles,WAR,aWAR
Leo III the Isaurian,1,0.951566843330118,0.951566843330118
Leo Phokas the Elder,1,-1.0288113392484417,-1.0288113392484417
Leofwine Godwinson,1,-1.0455850988790218,-1.0455850988790218
Leon Trotsky,1,-1.009822177402502,-1.009822177402502
Leonard Covington,1,-1.0459015849097875,-1.0459015849097875
Leonard Skierski,1,0.914221175213739,0.914221175213739
Leonard W. Murray,1,0.9412229708571423,0.9412229708571423
Leonardus Benjamin Moerdani,1,0.940489515767289,0.940489515767289
Leonid Govorov,2,0.24493796691508996,0.12246898345754498
Leonidas I,1,-1.0506488753712724,-1.0506488753712724
Leonidas Polk,2,-2.0952841996719664,-1.0476420998359832
Leonis Pereira,1,0.9515662103580564,0.9515662103580564
Leopold I of Belgium,1,0.9218168399521149,0.9218168399521149
"Leopold I, Duke of Austria",1,-1.0213240188769408,-1.0213240188769408
"Leopold I, Prince of Anhalt-Dessau",2,1.8800614008270156,0.9400307004135078
Leopold III of Belgium,1,-0.8565139756327843,-0.8565139756327843
"Leopold III, Duke of Austria",1,-1.0319462603669938,-1.0319462603669938
Leopold Okulicki,1,-1.0593522412173282,-1.0593522412173282
"Leopold V, Duke of Austria",1,0.9440553179744682,0.9440553179744682
"Leopold Wilhelm, Margrave of Baden-Baden",1,0.9408060017980546,0.9408060017980546
Leotychidas,1,0.9130172354524407,0.9130172354524407
Leptines of Syracuse,3,0.7189656543779938,0.2396552181259979
Leslie Morshead,1,0.9430214040134143,0.9430214040134143
Leslie Mungavin,1,-0.932916071926446,-0.932916071926446
Leustach Rátót,1,-1.058719269155797,-1.058719269155797
Lev Rokhlin,1,0.9325773649981475,0.9325773649981475
Levi Eshkol,1,0.9033317414381905,0.9033317414381905
Levin August von Bennigsen,5,0.8668175615144503,0.17336351230289007
Lew Wallace,1,-1.0502690921343536,-1.0502690921343536
"Lewis Gordon, 3rd Marquess of Huntly",1,-1.0425685018570465,-1.0425685018570465
Lewis Heath,3,-1.3180719903107567,-0.4393573301035856
Lewis Jordan,1,0.9516931212563935,0.9516931212563935
Li Chi-chun,1,0.966757856320839,0.966757856320839
Li Desheng,1,0.9600645264001859,0.9600645264001859
Li Guang,1,0.046512336073785965,0.046512336073785965
Li Guozhu,1,-1.0400911881040287,-1.0400911881040287
Li Jiancheng,1,0.9436543760749456,0.9436543760749456
Li Mi (Republic of China general),1,-1.3016222977684428,-1.3016222977684428
Li Mi (Sui dynasty),1,-1.0357740319252864,-1.0357740319252864
Li Rubai,1,-1.0110881215255647,-1.0110881215255647
Li Rusong,1,-1.0421037525405996,-1.0421037525405996
Li Shiji,1,0.9357422253058041,0.9357422253058041
Li Siye,1,-1.0167848700793465,-1.0167848700793465
Li Tianyou,1,0.9534654430286812,0.9534654430286812
Li Tingwang,1,0.9990394314589366,0.9990394314589366
Li Tingzhi,1,-1.0509653614020382,-1.0509653614020382
Li Tong (Three Kingdoms),1,-1.0104551494640333,-1.0104551494640333
Li Yuanji,1,0.9357422253058041,0.9357422253058041
Li Zongren,5,0.10730154259955138,0.021460308519910275
Liam Deasy,1,-1.0478005010943814,-1.0478005010943814
Lian Po,1,-1.190852187000461,-1.190852187000461
Liang Xing,1,-1.0167848700793465,-1.0167848700793465
Liao Yaoxiang,2,-0.27631742049092367,-0.13815871024546184
Liborius Ritter von Frank,1,-0.9060147593113647,-0.9060147593113647
Licinius,3,-1.1025744888283433,-0.36752482960944777
Lieutenant colonel,6,-0.27908052803880623,-0.04651342133980104
Lieutenant colonel (United Kingdom),2,-0.09693277540622491,-0.04846638770311246
Lieutenant general,11,0.32324317898604893,0.029385743544186268
Lin Biao,4,4.367712325954634,1.0919280814886585
Ling Cao,1,-0.05001590330974113,-0.05001590330974113
Ling Tong,1,0.9389070856134607,0.9389070856134607
Linghu Chao,1,-1.0357740319252864,-1.0357740319252864
Lionel Dunsterville,1,-1.0476666897658138,-1.0476666897658138
Lionel F. Booth,1,-1.0484524623177587,-1.0484524623177587
"Liparit IV, Duke of Kldekari",1,0.951566843330118,0.951566843330118
List of Iranian commanders in the Iran–Iraq War,1,-0.21300328752288314,-0.21300328752288314
List of Khazar rulers,1,0.9515662103580564,0.9515662103580564
List of Marshals of France,1,0.9499840966902589,0.9499840966902589
List of monarchs of Thomond,1,-1.0484337896419436,-1.0484337896419436
Litorius,1,0.9515662103580564,0.9515662103580564
Little Crow,1,-1.0481486357282237,-1.0481486357282237
Little Turtle,2,1.9035761341312463,0.9517880670656231
Little Wolf,1,-1.0485600675682192,-1.0485600675682192
Liu Bei,4,1.7856945153765806,0.44642362884414516
Liu Bocheng,3,3.1015586845294782,1.0338528948431593
Liu Buchan,1,-1.0504471281684367,-1.0504471281684367
Liu Chaoyou,1,0.9518830128748529,0.9518830128748529
Liu Chih,1,-1.3016222977684428,-1.3016222977684428
Liu Dewei,1,0.9357422253058041,0.9357422253058041
Liu Fuheng,1,-1.0484331566698821,-1.0484331566698821
Liu Rengui,1,0.9230006832920592,0.9230006832920592
Liu Xiang (pirate),1,-1.0400911881040287,-1.0400911881040287
Liu Yalou,1,1.173106748380051,1.173106748380051
Liu Yongfu,2,-2.0911701977580437,-1.0455850988790218
Liu Yuzhang,1,-1.2225007900770273,-1.2225007900770273
Livio Odescalchi,1,0.9230827840751775,0.9230827840751775
Livno,1,-1.0528642775866321,-1.0528642775866321
Ljube Boškoski,2,-0.10319666692713889,-0.05159833346356944
Ljubčo Georgievski,2,-0.10319666692713889,-0.05159833346356944
Lloyd Fredendall,2,-0.14022553252672143,-0.07011276626336072
Lloyd Samuel Breadner,1,1.2357797217970306,1.2357797217970306
Lloyd Tilghman,2,-2.0888914983365305,-1.0444457491682653
Llywelyn ap Gruffudd,1,-1.046218070940553,-1.046218070940553
Lodewijk van Boisot,2,1.8847224935736713,0.9423612467868356
Lodrisio Visconti,1,-1.0484337896419436,-1.0484337896419436
Login Geiden,1,0.948402211824407,0.948402211824407
Long Ju,1,-0.9851362670027803,-0.9851362670027803
Looking Glass (Native American leader),3,-2.145110527849279,-0.7150368426164263
Lopes da Cruz,1,0.940489515767289,0.940489515767289
Lord Balfour of Burleigh,1,-1.0425685018570465,-1.0425685018570465
Lord Edmund Howard,1,0.94333789004418,0.94333789004418
Lord George Murray (general),3,0.8583866427906816,0.2861288809302272
Lord Lovat,1,-0.04844296773683578,-0.04844296773683578
Lorentz Creutz,1,-0.03994735560313406,-0.03994735560313406
Lothair I,1,-1.0959063777707623,-1.0959063777707623
"Lothair Udo II, Margrave of the Nordmark",1,-1.046218070940553,-1.046218070940553
Lothar Rendulic,1,-1.054763193771226,-1.054763193771226
Louis Alexandre Andrault de Langeron,1,1.000621861612765,1.000621861612765
Louis Antoine de Bougainville,2,-2.091044421277702,-1.045522210638851
Louis Antoine de Saint-Just,1,0.8112872817229346,0.8112872817229346
"Louis Antoine, Duke of Angoulême",1,0.9420719459211173,0.9420719459211173
Louis Botha,3,0.8651560655085393,0.2883853551695131
Louis Charles Armand Fouquet,1,-1.0484436007088973,-1.0484436007088973
Louis Charles César Le Tellier,1,-0.9336125971029076,-0.9336125971029076
Louis Coulon de Villiers,1,0.9517564184625465,0.9517564184625465
Louis Desaix,1,0.9448456444319423,0.9448456444319423
Louis Du Pont Duchambon de Vergor,1,-1.0473574206513097,-1.0473574206513097
Louis Faidherbe,1,-1.0357740319252864,-1.0357740319252864
Louis Franchet d'Espèrey,2,0.564176198252119,0.2820880991260595
"Louis François, Prince of Conti",3,2.8369747803792307,0.9456582601264102
Louis Friant,1,-1.0478005010943814,-1.0478005010943814
Louis Georges Érasme de Contades,1,-1.0404128685042826,-1.0404128685042826
